,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 60 to 65,2017-6-20
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 40 to 45,2017-6-20
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 35 to 40,2017-6-20
3,3,3,3,3,3,Small Onion, 1, 110 to 120,2017-6-20
4,4,4,4,4,4,Bellary (Big Onion), 1, 11 to 12,2017-6-20
5,5,5,5,5,5,Beans 1st Quality, –, 50 to 55,2017-6-20
6,6,6,6,6,6,Beans 2nd Quality, 1, 45 to 50,2017-6-20
7,7,7,7,7,7,Carrot 1st Quality, 1, 60,2017-6-20
8,8,8,8,8,8,Carrot 2nd Quality, 1, 55,2017-6-20
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 25,2017-6-20
10,10,10,10,10,10,Maram Murungai, 1, 30,2017-6-20
11,11,11,11,11,11,Chedi Murungai, 1, 25,2017-6-20
12,12,12,12,12,12,Avarai Ottu, 1, 60,2017-6-20
13,13,13,13,13,13,Pachai Payaru, 1, 15,2017-6-20
14,14,14,14,14,14,Vellai Payaru, 1, 25,2017-6-20
15,15,15,15,15,15,Suraikai, 1, 15,2017-6-20
16,16,16,16,16,16,Beetroot, 1, 18 to20,2017-6-20
17,17,17,17,17,17,Sunami Sambar, 1, 13 to 15,2017-6-20
18,18,18,18,18,18,Pusanikai, 1, 5.50 to 6.50,2017-6-20
19,19,19,19,19,19,Kalla Manga/Mango, 1, 13,2017-6-20
20,20,20,20,20,20,Orutu Manga/Mango, 1, 9 to 10,2017-6-20
21,21,21,21,21,21,Potato 1st Quality, 1, 15 to17,2017-6-20
22,22,22,22,22,22,Potato 2nd Quality, 1, 10 to 12,2017-6-20
23,23,23,23,23,23,Coconut 1st Quality, –, 25 to 26,2017-6-20
24,24,24,24,24,24,Coconut 2nd Quality, –, 20 to 21,2017-6-20
25,25,25,25,25,25,Green Chilli, 1, 40 to45,2017-6-20
26,26,26,26,26,26,Cauliflower 1st Quality, –, 25,2017-6-20
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 20,2017-6-20
28,28,28,28,28,28,Katharikai Pachai, 1, 30 to 35,2017-6-20
29,29,29,29,29,29,Katharikai ootha, 1, 30,2017-6-20
30,30,30,30,30,30,Valai Thar, –, 30,2017-6-20
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 29,2017-6-20
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 30,2017-6-20
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 25,2017-6-20
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 70,2017-6-20
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 65,2017-6-20
36,36,36,36,36,36,Mullangi 1st Quality, 1, 40,2017-6-20
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 35,2017-6-20
38,38,38,38,38,38,Inji/Ginger, 1, 25 to 30,2017-6-20
39,39,39,39,39,39,Butter Beans, 1, 160,2017-6-20
40,40,40,40,40,40,Mutta Kose, 1, 15 to 20,2017-6-20
41,41,41,41,41,41,Pachai Pattani, 1, 120,2017-6-20
42,42,42,42,42,42,Pakarkai, 1, 35,2017-6-20
43,43,43,43,43,43,Nookal, 1, 30,2017-6-20
44,44,44,44,44,44,Chaw Chaw, 1, 20,2017-6-20
45,45,45,45,45,45,Kovakkai, 1, 20,2017-6-20
46,46,46,46,46,46,Kothavarangai, 1, 20,2017-6-20
47,47,47,47,47,47,Nellikai, 1, 40,2017-6-20
48,48,48,48,48,48,Narthangai, 1, 30,2017-6-20
49,49,49,49,49,49,Vellarikai, 1, 25,2017-6-20
